Horodateur,"En temps normal, à quelle fréquence utilisez-vous les transports en commun ?","En temps normal, à quelle(s) heure(s) utilisez-vous les transports en commun ?",Dans quel cadre prenez-vous majoritairement les transports en commun ?,Quels types de transports en commun utilisez-vous ?,Quel temps passez-vous en moyenne dans les transports en commun par jour ?,Ressentez-vous de l'insécurité en prenant les transports en commun ?,"Si oui,  à quelle(s) heure(s) ?",Avez-vous déjà été témoins de comportements correspondant à cette définition du harcèlement ?,Avez-vous déjà subi du harcèlement dans les transports en commun ?,"Si oui, est-ce-que cette expérience a entrainé un ou plusieurs changements de comportement de votre part ?","Si oui, avez-vous été victime de violences physiques en lien avec ce harcèlement ? ",Connaissez-vous le dispositif Alerte 3117 ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif Alerte 3117 soit une solution efficace dans les situations de harcèlement sexuel ou sexiste ?,Pourquoi ?,Connaissez-vous l'arrêt à la demande ?,"Si oui, l'avez-vous déjà utilisé ?",Pensez-vous que le dispositif d'arrêt à la demande soit une solution efficace pour éviter le harcèlement sexuel ou sexiste ?,Pourquoi ?,"Selon-vous, à quel point cette campagne de communication est-elle efficace pour lutter contre le harcèlement dans les transports en commun ?",Pourquoi ?,Quel est votre genre ?,Quel est votre âge ?,Quelle est votre catégorie socio-professionnelle ?,Dans quelle ville habitez-vous ?,
2022/02/16 4:05:43 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,7,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Non, jamais","Non, jamais",,,Non,,3,Je ne sais pas si cela est efficace,Non,,4,,4,Elle regroupe différents renseignements et solutions pour contrer le harcèlement ,Féminin,26 - 35 ans,Employé·es et personnel de service,Le vesinet ,
2022/02/16 4:06:44 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Plus de 2 heures,7,Tôt le matin (5h - 7h30),"Oui, à plusieurs reprises","Non, jamais",,,Oui,Non,3,Il est intéressant mais il faut du temps pour que les informations soient retransmises,Non,Non,2,,2,Ce n'est qu'une affiche et elle ne produit pas de prise de conscience,Masculin,36 - 45 ans,Employé·es et personnel de service,Issy les Moulineaux,
2022/02/16 4:06:51 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Bus, car (jour)",Entre 30 minutes et 1 heure,3,Le soir (après 19h30),"Oui, une seule fois","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Non,3,,Non,Non,,,2,,Féminin,26 - 35 ans,Étudiant·e,Paris,
2022/02/16 4:07:53 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,7,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",Favorisation de l'usage des transports en groupe,Non,Oui,Non,1,,Oui,Non,2,,1,,Féminin,18 - 25 ans,Étudiant·e,Paris,
2022/02/16 4:08:07 PM UTC+1,Tous les jours,Heures creuses (9h30 - 16h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Plus de 2 heures,7,Le soir (après 19h30),"Non, jamais","Non, jamais",,,Oui,Non,3,"Efficace, mais pas suffisant.",Oui,Non,1,"Je me suis toujours dit que si un jour j'ai un probléme, je n'utiliserais ce dispositif, par crainte de ""juste rester bloqué avec le harceleur"" ou au mieu "" me retrouver dehors avec mon harceleur "", je trouve qu'il ne sert à rien. Un dispositif "" Aide "" qui lance un signal a la sécurité SNCF qui peux m'attendre au prochain arret serait plus rassurant. ",1,"Même raisons qu'avant, c'est ""rassurant"" d'avoir un numéro à contacté, mais quelles sont les actes derriére ? qu'est ce qui arrive ? y'a il la police qui est contacté ? une sécurité sncf ? La campagne manque de ""Plan d'action concret"" Avoir un plan d'action du style "" Contacter ce numéro, des agents se mobiliseront pour vous "" ça me rassurerai plus.",Masculin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Franconville,
2022/02/16 4:09:05 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Moins de 30 minutes;Entre 30 minutes et 1 heure,5,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,,3,,Oui,Non,4,,3,Les gens ont quand même peur de réagir quand ils voient ou subissent une situation de harcèlement  ,Féminin,26 - 35 ans,Professions intermédiaires (cadres moyens),La Garenne Colombes,
2022/02/16 4:09:29 PM UTC+1,2 à 3 fois par mois,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Moins de 30 minutes,7,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises","Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Oui et je n'ai pas porté plainte,Oui,Non,3,,Non,,3,,4,,Féminin,26 - 35 ans,Professions intermédiaires (cadres moyens),Bobigny ,
2022/02/16 4:11:47 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Entre 1 heure et 2 heures,8,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Non, jamais","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe,Non,Oui,Non,3,,Oui,Non,2,,1,,Féminin,26 - 35 ans,Professions intermédiaires (cadres moyens),Chatou,
2022/02/16 4:11:53 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,5,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Oui et je n'ai pas porté plainte,Non,Non,,,Non,Non,,,2,,Féminin,36 - 45 ans,Cadres et professions intellectuelles supérieures,Nanterre,
2022/02/16 4:12:19 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,6,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Oui,Non,3,Je ne suis pas sûr que quelqu’un réagisse assez vite ,Oui,Non,4,Cela nous permet de passer moins de temps seule dehors ,3,Je ne sais pas ,Féminin,26 - 35 ans,Étudiant·e,Malakoff ,
2022/02/16 4:12:45 PM UTC+1,2 à 3 fois par mois,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways",Entre 30 minutes et 1 heure,8,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, fréquemment","Oui, fréquemment","Modification du style vestimentaire;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,,3,"Certaines situations nécessitent une intervention sur le moment même.
C'est une bonne idée pour les situations qui ne sont PAS urgentes.",Non,,3,"Pareil que le numéro 117, bonne idée en soit mais en application je ne suis pas certaine que ce soit l'idéal. ",2,Je pense que cette publicité parle plus aux gens (femmes et hommes) qui sont victimes d'harcèlement qu'à ceux qui harcèlent.,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:13:25 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour);Bus, car (nuit)",Entre 30 minutes et 1 heure,8,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe,Oui et je n'ai pas porté plainte,Oui,Non,1,,Non,Non,,,1,,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:13:27 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Trains longue distance (intercités, TGV);Bus, car (jour)",Entre 30 minutes et 1 heure,1,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Non, jamais","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Non,4,,Non,Non,,Je ne connais pas bien ce dispositif.,5,En parler est toujours une bonne chose.,Féminin,26 - 35 ans,Employé·es et personnel de service,Paris,
2022/02/16 4:13:54 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour);Bus, car (nuit)",Entre 1 heure et 2 heures,5,Le soir (après 19h30),"Oui, une seule fois","Non, jamais",,,Non,,3,"On ne voit pas l'impact de ce dispositif sinon, on devrait au moins savoir de quoi il s'agit ",Non,,3,Une solution juste pour un instant t ,3,Il faut plus de pub pour cette compagne pour que les gens commencent à l'utiliser ,Féminin,26 - 35 ans,Étudiant·e,Massy ,
2022/02/16 4:14:06 PM UTC+1,2 à 3 fois par mois,Heures creuses (9h30 - 16h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,7,,"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Non,,2,"Il faut y penser, en situation de stress ",Non,,,,2,Pas trop de changement ,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Paris ,
2022/02/16 4:14:57 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways",Entre 30 minutes et 1 heure,9,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, fréquemment","Oui, fréquemment","Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,3,,Oui,Non,4,,3,,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:16:48 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Entre 30 minutes et 1 heure;Entre 1 heure et 2 heures,9,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Oui, une seule fois","Oui, à plusieurs reprises","Modification du style vestimentaire;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,1,Des fois il n’y a personne et le temps d’intervention serait trop long,Oui,Non,1,On va juste être coincé avec notre harceleur,1,Trop imagé et univers fantastique. J’aurais préféré voir une situation réelle ,Féminin,18 - 25 ans,Étudiant·e,Houilles,
2022/02/16 4:20:00 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 1 heure et 2 heures,5,,"Oui, une seule fois","Oui, une seule fois",,Non,Oui,Non,3,,Non,,4,,4,,Féminin,18 - 25 ans,Étudiant·e,Neuilly sur Marne,
2022/02/16 4:21:15 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,5,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, une seule fois","Oui, une seule fois",Favorisation de l'usage des transports en groupe,Non,Oui,Non,1,"Il faut davantage de contrôle dans les transports, ils ne sont jamais là",Non,Non,1,Je ne vois pas en quoi ça consiste ,2,"Perso, jamais vu",Féminin,26 - 35 ans,Employé·es et personnel de service,Coulommiers,
2022/02/16 4:22:05 PM UTC+1,Tous les jours,Tôt le matin (5h - 7h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Plus de 2 heures,3,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Non, jamais","Non, jamais",,,Oui,Non,2,"Entre le temps où la personne (la victime ou un témoin) arrive a alerter et le moment où l'agresseur part, il y avoir un certains temps où elle se retrouve sans aide. Il faut également avoir le numéro en tête au quotidien",Non,,,,4,"On comprend bien l'image, le message et les moyens pour donner l'alerte sont bien indiqués. Par contre pour prendre les transports au quotidien... je n'ai pas le souvenir d'avoir vu une seule fois cette affiche depuis 2018",Féminin,18 - 25 ans,Ouvrier·ères qualifié·es,Nezel,
2022/02/16 4:22:21 PM UTC+1,2 à 3 fois par mois,Heures creuses (9h30 - 16h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;Bus, car (jour)",Moins de 30 minutes,9,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Oui,Non,2,"Le temps qu'un agent se déplace il peut se passer beaucoup de choses. De plus, sortir son téléphone dans ce moment là peut être dangereux, on ne connait pas la réaction de l'agresseur. ",Oui,Non,4,Oui car moins de chemin à faire entre le bus et le logement donc moins de chance de se faire agresser. ,1,C'est pas une affiche qui va arrêter les agresseurs ,Féminin,18 - 25 ans,"Artisan·es, commerçant·es et chef·fes d'entreprise",Rosny-sous-Bois 93110,
2022/02/16 4:23:49 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,8,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, une seule fois","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe,Non,Non,Non,3,Je ne connais pas le temps de réponse de cette ligne téléphonique ,Non,,1,Le harceler peut lui aussi descendre et faire bien pire puisque la victime sera seule ,4,Elle montre les félins vers la proie c’est exactement cela ,Féminin,46 - 55 ans,Professions intermédiaires (cadres moyens),Saint-Cloud ,
2022/02/16 4:30:14 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Bus, car (jour)",Entre 30 minutes et 1 heure,2,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Non, jamais","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,,3,,Non,,4,,2,,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Paris,
2022/02/16 4:33:22 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Entre 30 minutes et 1 heure;Entre 1 heure et 2 heures,5,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, une seule fois","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Non,2,,Oui,Non,3,,1,,Féminin,26 - 35 ans,Étudiant·e,Savigny-sur-Orge,
2022/02/16 4:33:52 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Entre 1 heure et 2 heures,8,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,,1,Trop de temps à réagir,Oui,Oui,2,Les personnes peuvent te suivre dans la rue...,1,Pas assez impactante et choquante ,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Clichy,
2022/02/16 4:35:57 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Entre 30 minutes et 1 heure,7,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, une seule fois","Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,1,Pas assez connu,Non,Non,1,Pas connu ,4,Assez parlante ,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Paris,
2022/02/16 4:36:25 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30)",Déplacements scolaires/professionnels,"Métros, tramways;Bus, car (jour)",Entre 30 minutes et 1 heure,9,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,3,Délai d'intervention inconnu,Non,Non,5,"Le conducteur peut se rendre compte concrètement de la situation, et intervenir, prévenir. Les autres passagers peuvent être témoins ",3,"Pas assez choc, ce n'est pas l'histoire du chaperon rouge. Et cela n'arrive pas que la nuit hélas. ",Féminin,46 - 55 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:39:00 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Entre 30 minutes et 1 heure,5,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Oui et je n'ai pas porté plainte,Oui,Non,1,"Le temps qu'ils arrivent, ils ne pourront rien faire.",Oui,Non,4,Pratique et limite le temps dehors,3,,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:40:09 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Moins de 30 minutes,5,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Non, jamais","Non, jamais",,,Non,Non,2,,Non,Non,,,2,,Féminin,36 - 45 ans,Employé·es et personnel de service,Paris ,
2022/02/16 4:40:50 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV);Bus, car (jour);Bus, car (nuit)",Entre 30 minutes et 1 heure,6,Le soir (après 19h30),"Non, jamais","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe,Non,Oui,Non,4,Simple et efficace,Non,Non,3,Pas assez connu,3,Représentez les agresseurs par des loups alors que ce sont des personnes de la vie de tous les jours...,Féminin,18 - 25 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:43:47 PM UTC+1,Tous les jours,Tôt le matin (5h - 7h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Bus, car (jour)",Entre 1 heure et 2 heures,6,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, une seule fois","Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Oui,Non,3,On n’a pas forcément le réflexe de sortir son tel,Non,Non,4,Ça peut couper le harceler dans son élan  ,2,Ce n’est pas la réalité ,Féminin,26 - 35 ans,Professions intermédiaires (cadres moyens),Vitry sur Seine ,
2022/02/16 4:48:01 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV);Bus, car (jour)",Entre 30 minutes et 1 heure,6,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Oui, une seule fois","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Oui,Non,3,Accessible mais je doute que l'intervention de la sécurité soit assez rapide pour intervenir en cas d'incident ,Non,,3,,3,Les harcekeurs ne portent d'attention à  ce type de com,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Paris,
2022/02/16 4:48:25 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,1,,"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Modification du style vestimentaire,Non,Non,,,,Non,,,,3,,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:49:23 PM UTC+1,Tous les jours,"Tôt le matin (5h - 7h30);Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,4,Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,3,"neutre, je ne l'ai jamais utilisé. ",Non,Non,3,De meme. ,3,ça j'en ai entendu parlé mais je ne l'ai jamais utilisé. ,Féminin,18 - 25 ans,Étudiant·e,"Paris. Je souhaite apporter une réponse, l'harcèlement de rue fait que je ne prends plus certaines lignes le soir. ( après 20h30 l'hiver et 21h30 l'été)  ",
2022/02/16 4:50:08 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways",Entre 30 minutes et 1 heure,6,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises","Changement de siège ou de wagon en cas de sentiment d'insécurité;Favorisation de l'usage des transports en groupe;Réduction de l'usage des transports en commun en favorisant d'autres modes de déplacements (vélo, taxi, véhicule personnel, etc.)",Non,Non,Non,2,Pas d’action immédiate si situation de danger,Non,Non,3,Risque que la personne harceleuse descende en meme temps,2,Les numeros liés au dispositif ne sont pas assez mis en avant sur l’affiche + je n’ai jamais vu cette campagne dans les transports,Féminin,26 - 35 ans,Cadres et professions intellectuelles supérieures,Paris,
2022/02/16 4:50:10 PM UTC+1,2 à 3 fois par semaine,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Heures creuses (9h30 - 16h30);Le soir (après 19h30)","Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;Bus, car (jour)",Moins de 30 minutes;Entre 30 minutes et 1 heure,7,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30);Le soir (après 19h30)","Oui, à plusieurs reprises","Oui, à plusieurs reprises",,Non,Oui,Non,4,"Les témoins peuvent avoir peur d'intervenir malheureusement , plus d'excuse avec un SMS à envoyer. ",Oui,Non,3,"On peut quand même vous suivre, après ça peut quand même aider si le chauffeur le veux bien. ",3,"Un agresseur se moque des campagnes.
Par contre ça peut apprendre le numéro d'alerte aux autres usagers. ",Féminin,26 - 35 ans,Autres personnes sans activité professionnelle,Paris,
2022/02/16 4:52:08 PM UTC+1,2 à 3 fois par semaine,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Déplacements liés à la vie quotidienne (courses, loisirs...)","Métros, tramways;TER, transiliens",Entre 30 minutes et 1 heure,2,Heures creuses (9h30 - 16h30);Le soir (après 19h30),"Oui, à plusieurs reprises","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Oui,Non,3,Pour répondre il faudrait en avoir l'expérience sur l'efficacité,Oui,Non,3,"Tout dépend du moyen de transport.
",1,Parce que l'image est sinistre et montre les moyens de transport comme pire que la jungle. ,Féminin,56 - 65 ans,Cadres et professions intellectuelles supérieures,Louveciennes,
2022/02/16 4:53:09 PM UTC+1,Tous les jours,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)",Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens",Entre 1 heure et 2 heures,3,"Heures de pointe (7h30 - 9h30, 16h30 - 19h30)","Oui, à plusieurs reprises","Oui, une seule fois",Changement de siège ou de wagon en cas de sentiment d'insécurité,Non,Non,Non,3,Réactivité et discrétion ,Non,Non,1,Ça cessera une fois mais ça peut recommencer ,1,Elle ne rime à rien ,Féminin,36 - 45 ans,Professions intermédiaires (cadres moyens),Taverny ,
2022/02/16 4:54:07 PM UTC+1,2 à 3 fois par semaine,Tôt le matin (5h - 7h30);Le soir (après 19h30),Déplacements scolaires/professionnels,"Métros, tramways;TER, transiliens;Trains longue distance (intercités, TGV)",Entre 30 minutes et 1 heure;Entre 1 heure et 2 heures,4,Tôt le matin (5h - 7h30);Le soir (après 19h30),"Non, jamais","Oui, à plusieurs reprises",Changement de siège ou de wagon en cas de sentiment d'insécurité;Modification du style vestimentaire,Non,Non,Non,2,Tout d’abord ce service n’empêche pas l’harcèlement. Puis parfois c’est dangereux pour la victime qui se retrouve avec son harceleur dans un wagon de parler avec un agent de la SNCF.  ,Oui,Non,1,"L’harceleur peut descendre derrière sa victime, le fait que l’arrêt de bus soit le plus proche n’empêche pas que la victime soit encore une fois harcelée et/ou suivie par son harceleur. ",1,"Elle n’est pas efficace pour lutter contre l’harcèlement, mais elle est efficace pour sensibiliser les gens à donner des alertes et informer comment (numéros de téléphone) ",Féminin,36 - 45 ans,Employé·es et personnel de service,Paris et je travaille en Bourgogne deux fois par semaine. ,
